image_id,label,prediction,cultivar_int,target_int,blast,brown,healthy
id_4q1gs6sy07.jpg,brown,brown,1,tensor(1),0.0054231356,0.9929051,0.0016718259
id_4z2qz5kpc5.jpg,blast,blast,0,tensor(0),0.9983669,0.0012274622,0.00040556543
id_6tdb6lh6s2.jpg,healthy,healthy,2,tensor(2),0.01548924,0.011134712,0.97337604
id_8vycxhour1.jpg,blast,blast,0,tensor(0),0.99721056,0.0018119708,0.000977485
id_9k404fovn6.jpg,blast,blast,0,tensor(0),0.9986481,0.0009267982,0.00042514873
id_cai4ccm9qm.jpg,healthy,healthy,2,tensor(2),0.014810999,0.005949224,0.9792397
id_cnrsapsn4r.jpg,blast,blast,0,tensor(0),0.99665856,0.0029799554,0.00036150962
id_e6g06ljtvo.jpg,blast,blast,0,tensor(0),0.9990146,0.0006796352,0.00030573772
id_hby112x30r.jpg,brown,brown,1,tensor(1),0.009216069,0.9890353,0.0017486416
id_hxlv5dbqr3.jpg,blast,blast,0,tensor(0),0.99857974,0.0011737926,0.00024652143
id_l8jvsffubc.jpg,brown,brown,1,tensor(1),0.0060403086,0.9913235,0.0026362399
id_n6kamyepd6.jpg,blast,blast,0,tensor(0),0.99881136,0.0007448251,0.00044388758
id_o0a6z7zk0v.jpg,brown,brown,1,tensor(1),0.0730993,0.6761589,0.2507418
id_ow3feu1faq.jpg,healthy,healthy,2,tensor(2),0.01615837,0.0034944925,0.98034716
id_pgtkifwblr.jpg,brown,brown,1,tensor(1),0.0051300996,0.99301916,0.0018507553
id_qt7aild345.jpg,healthy,healthy,2,tensor(2),0.01546636,0.00783797,0.9766957
id_tdgabqxs74.jpg,brown,brown,1,tensor(1),0.004804419,0.992861,0.002334637
id_tuu669mxyd.jpg,healthy,healthy,2,tensor(2),0.008830609,0.007672166,0.98349714
id_vxpjy22it8.jpg,healthy,healthy,2,tensor(2),0.009504412,0.006713362,0.98378223
id_wjh0t95vys.jpg,brown,brown,1,tensor(1),0.008175348,0.98932403,0.0025006556
id_xdfitwp6xj.jpg,blast,blast,0,tensor(0),0.9982582,0.001060092,0.0006817784
id_zfg9klnjyj.jpg,blast,blast,0,tensor(0),0.9983619,0.0013402211,0.0002978779
id_0vimpnch2v.jpg,blast,blast,0,tensor(0),0.9992181,0.00048486434,0.0002969711
id_3wml4i46tf.jpg,brown,brown,1,tensor(1),0.013495552,0.9852424,0.0012620422
id_6tprdftyo5.jpg,brown,brown,1,tensor(1),0.015738398,0.9827754,0.0014862262
id_7pofni83fb.jpg,brown,brown,1,tensor(1),0.0071185674,0.9915108,0.0013705958
id_9bcl3l5lag.jpg,brown,brown,1,tensor(1),0.009327694,0.9893519,0.0013203669
id_ck3zp1hit1.jpg,blast,blast,0,tensor(0),0.9981987,0.0014517203,0.0003495604
id_cxbmatvbr7.jpg,blast,blast,0,tensor(0),0.99782795,0.0017233202,0.00044867775
id_dws2z5grzy.jpg,blast,blast,0,tensor(0),0.99858403,0.00096177537,0.0004543105
id_e0o0betvmq.jpg,blast,blast,0,tensor(0),0.9988741,0.0006956544,0.00043025767
id_egeejqmrrm.jpg,brown,brown,1,tensor(1),0.01289231,0.9849278,0.0021799179
id_fi2hvuy4d7.jpg,brown,brown,1,tensor(1),0.0076567177,0.9901815,0.0021617864
id_fmj78s52kp.jpg,brown,brown,1,tensor(1),0.01986209,0.97958434,0.00055355876
id_kkena4xxuz.jpg,brown,brown,1,tensor(1),0.0074011786,0.9913823,0.0012164968
id_lqwpbdb49p.jpg,blast,blast,0,tensor(0),0.9974341,0.0020577072,0.0005082178
id_nr7q723ber.jpg,blast,blast,0,tensor(0),0.9988281,0.0008489714,0.00032286302
id_rtfwivbji7.jpg,blast,blast,0,tensor(0),0.9988513,0.00073330704,0.0004153847
id_s76eqv3go0.jpg,brown,brown,1,tensor(1),0.0056332857,0.99186933,0.0024973154
id_sb3mm4yosr.jpg,blast,blast,0,tensor(0),0.99512047,0.0038391335,0.0010403765
id_sgdqu10qoe.jpg,blast,blast,0,tensor(0),0.9985612,0.0008842799,0.0005544501
id_t3gn0fvmdt.jpg,healthy,healthy,2,tensor(2),0.00652196,0.010290587,0.9831874
id_tz712hwvat.jpg,healthy,healthy,2,tensor(2),0.009228928,0.010938238,0.9798329
id_ubg9gi8b1b.jpg,blast,blast,0,tensor(0),0.9987633,0.0008555745,0.0003811448
id_uuf0egtxfw.jpg,healthy,healthy,2,tensor(2),0.04411097,0.009987724,0.9459013
