image_id,label,prediction,cultivar_int,target_int,blast,brown,healthy
id_4q1gs6sy07.jpg,brown,brown,1,tensor(1),1.3620057e-05,0.9991584,0.00082796044
id_4z2qz5kpc5.jpg,blast,blast,0,tensor(0),0.99949265,2.5157586e-05,0.00048216406
id_6tdb6lh6s2.jpg,healthy,healthy,2,tensor(2),0.00013682227,0.00020619846,0.99965703
id_8vycxhour1.jpg,blast,blast,0,tensor(0),0.99996114,2.4490468e-05,1.442535e-05
id_9k404fovn6.jpg,blast,blast,0,tensor(0),0.9999956,2.2691652e-06,2.182235e-06
id_cai4ccm9qm.jpg,healthy,healthy,2,tensor(2),0.000299715,0.06703618,0.93266404
id_cnrsapsn4r.jpg,blast,blast,0,tensor(0),0.99997663,1.8307019e-05,5.044114e-06
id_e6g06ljtvo.jpg,blast,blast,0,tensor(0),0.99999857,6.0835885e-07,8.886213e-07
id_hby112x30r.jpg,brown,brown,1,tensor(1),0.00043562532,0.99955314,1.1251844e-05
id_hxlv5dbqr3.jpg,blast,blast,0,tensor(0),0.99997973,1.7674645e-05,2.5712618e-06
id_l8jvsffubc.jpg,brown,brown,1,tensor(1),0.0019765662,0.66755813,0.33046523
id_n6kamyepd6.jpg,blast,blast,0,tensor(0),0.99999964,1.265267e-07,2.9303646e-07
id_o0a6z7zk0v.jpg,brown,healthy,2,tensor(1),0.023872798,0.36998495,0.6061422
id_ow3feu1faq.jpg,healthy,healthy,2,tensor(2),0.001196749,0.00038625766,0.998417
id_pgtkifwblr.jpg,brown,brown,1,tensor(1),0.0035564809,0.99639857,4.48844e-05
id_qt7aild345.jpg,healthy,healthy,2,tensor(2),0.0002780054,9.203526e-05,0.99963
id_tdgabqxs74.jpg,brown,brown,1,tensor(1),5.7822916e-07,0.9999857,1.3765107e-05
id_tuu669mxyd.jpg,healthy,healthy,2,tensor(2),0.0024881465,7.33592e-05,0.99743843
id_vxpjy22it8.jpg,healthy,healthy,2,tensor(2),0.0010645817,0.00035798585,0.9985775
id_wjh0t95vys.jpg,brown,brown,1,tensor(1),8.8515264e-07,0.9999938,5.317342e-06
id_xdfitwp6xj.jpg,blast,blast,0,tensor(0),0.99961674,0.00031625014,6.6940156e-05
id_zfg9klnjyj.jpg,blast,blast,0,tensor(0),0.9999896,9.332181e-06,1.0511397e-06
id_0vimpnch2v.jpg,blast,blast,0,tensor(0),0.9999889,4.068362e-07,1.0699388e-05
id_3wml4i46tf.jpg,brown,brown,1,tensor(1),2.891332e-05,0.9999641,6.9893013e-06
id_6tprdftyo5.jpg,brown,brown,1,tensor(1),0.056652084,0.943342,5.910409e-06
id_7pofni83fb.jpg,brown,brown,1,tensor(1),4.8704645e-05,0.9999509,4.485543e-07
id_9bcl3l5lag.jpg,brown,brown,1,tensor(1),0.001713637,0.99805224,0.00023419155
id_ck3zp1hit1.jpg,blast,blast,0,tensor(0),0.9944382,0.0054647606,9.7082244e-05
id_cxbmatvbr7.jpg,blast,blast,0,tensor(0),0.9973568,0.0021022307,0.000540953
id_dws2z5grzy.jpg,blast,blast,0,tensor(0),0.9999974,7.3381943e-07,1.9183112e-06
id_e0o0betvmq.jpg,blast,blast,0,tensor(0),0.99999666,1.6731807e-06,1.6344216e-06
id_egeejqmrrm.jpg,brown,brown,1,tensor(1),0.00025638918,0.9997404,3.224313e-06
id_fi2hvuy4d7.jpg,brown,brown,1,tensor(1),3.3149317e-05,0.99996495,1.903321e-06
id_fmj78s52kp.jpg,brown,brown,1,tensor(1),0.03774972,0.96223545,1.4863218e-05
